Date,Description,Amount
2024-03-01,Direct Deposit - Employer Payroll,2850.00
2024-03-01,Rent Payment - Apt 4B,-1250.00
2024-03-02,Metro Monthly Pass,-112.00
2024-03-02,Spotify Premium,-9.99
2024-03-03,Trader Joe's,-67.43
2024-03-04,Netflix,-15.49
2024-03-05,Chipotle,-13.85
2024-03-06,Starbucks,-6.75
2024-03-07,Amazon - Phone Case,-18.99
2024-03-08,Whole Foods,-54.21
2024-03-09,Uber,-11.40
2024-03-09,Five Guys,-17.30
2024-03-10,Electric Bill - ConEd,-74.50
2024-03-10,Internet - Xfinity,-59.99
2024-03-11,Walgreens,-23.14
2024-03-12,Starbucks,-5.25
2024-03-13,Trader Joe's,-48.90
2024-03-14,Venmo - Split Dinner,-28.00
2024-03-14,Freelance Payment Received,400.00
2024-03-15,Direct Deposit - Employer Payroll,2850.00
2024-03-15,Gym Membership - Planet Fitness,-24.99
2024-03-16,Uber Eats - Thai Place,-32.80
2024-03-17,Target,-61.37
2024-03-18,Starbucks,-6.25
2024-03-19,AMC Theatres,-16.50
2024-03-20,Trader Joe's,-72.18
2024-03-20,Gas Station - Shell,-48.00
2024-03-21,Pharmacy - CVS,-19.45
2024-03-22,Dinner - Olive Garden,-41.60
2024-03-22,Uber,-9.75
2024-03-23,Apple iCloud Storage,-2.99
2024-03-24,Amazon - Book Order,-22.47
2024-03-25,Starbucks,-7.10
2024-03-26,Trader Joe's,-55.82
2024-03-27,Hulu,-17.99
2024-03-27,Venmo - Concert Tickets,-65.00
2024-03-28,Phone Bill - Verizon,-85.00
2024-03-29,Uber Eats - Sushi,-38.50
2024-03-30,Amazon Prime,-14.99
2024-03-31,ATM Withdrawal,-60.00
